us-east-1,,us-east-2,,us-west-2,,us-west-1,,ca-central-1,,eu-west-1,,eu-west-2,,eu-central-1,,ap-southeast-1,,ap-northeast-1,,ap-southeast-2,,ap-northeast-2,,ap-south-1,,sa-east-1
r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge,,r4.8xlarge
r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge,,r4.16xlarge
i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large,,i3.large
i3.xlarge,,i3.xlarge	,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge,,i3.xlarge
i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge,,i3.2xlarge
i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge,,i3.4xlarge
i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge,,i3.8xlarge
i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge,,i3.16xlarge
d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,d2.xlarge,,
d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,d2.2xlarge,,
d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,d2.4xlarge,,
d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,d2.8xlarge,,
